Impressão de campos da consulta;;;;;;;;Página: 1;

Código;Apelido;Nome;;Pula complemento;
19;AQUISINVEST;Aquisição de investimento;;Não;
35;BX IMOB;Baixa de imobilizado;;Não;
43;CHQCOMPENS;Cheque compensado;;Não;
51;CHQNR;Cheque nº;;Não;
78;COBRDUPLIC;Cobrança de duplicatas;;Não;
86;COFINS;Cofins ref. mês;;Não;
357;;Custo do mês;;Não;
108;IMO;Compra de bens do ativo imobilizado ref.;;Não;
132;CPR;Compras ref. *M;;Não;
140;DEBITBANC;Débito bancário ref.:;;Não;
159;TARIFABANC;Débito tarifa bancária cfe. extrato;;Sim;
175;DEPRE;Depreciação do mês *M;;Não;
1058;363;Apropriação IRPJ do período;;Não;
1066;269;Apropriação CSLL do período;;Não;
1074;267;Apropriação cofins do período;;Não;
2712;APLICA;Aplicação CAIXA;;Não;
27;;Integralização de capital do(a) sócio(a):;;Não;
3611;;Credito Cielo;;Não;
47;;ISQN em;;Não;
207;;Lucros e perdas;;Não;
257;;Pagamento de honorários;;Não;
287;;Juros sobre aplicação financeira;;Não;
297;;Serviços prestados ref. NF;;Não;
477;;Recebimento de clientes;;Não;
567;;Provisões de;;Não;
568;;Saldo de caixa do exercício anterior;;Não;
574;DVLV;Devoluções;;Não;
590;;Amortização período;;Não;
1325;421;Venda de produtos a prazo conf.;;Não;
1333;422;Venda de mercadorias a prazo conf.;;Não;
1830;;Crédito conforme extrato;;Não;
1856;;Lucro apurado no período;;Não;
1872;;Prejuízo apurado no período;;Não;
1880;;PIS sobre provisão aluguel;;Não;
1899;;Cofins sobre provisão de aluguel;;Não;
1902;;CSLL sobre provisão de aluguel;;Não;
1910;;IRPJ sobre provisão de aluguel;;Não;
1929;;Reversão de provisão PIS;;Não;
1961;;Rendimento de aplicação financeira ref. mês.;;Não;
1970;;IRPJ sobre aluguel recebido;;Não;
1988;;CSLL sobre aluguéis recebidos;;Não;
2089;;Pagamento de cartão de crédito ref.;;Não;
2127;DVICMS;ICMS sobre devolução;;Não;
2240;AJUST;Ajuste ref.:;;Não;

SCI Ambiente Contábil ÚNICO;;;;
Impressão de campos da consulta;;;;;;;;Página: 2;

Código;Apelido;Nome;;Pula complemento;
2259;DESCCONC;Desconto concedido ref.:;;Não;
2275;BADINT;Baixa de adiantamento de clientes;;Não;
2291;COF;Cofins a pagar ref.:;;Não;
2305;ALUGPG;Aluguel a pagar ref. mês:;;Não;
2330;PAGENERGIA;Pagamento de energia elétrica ref.;;Não;
2402;VVEICULOS;Venda do ativo imobilizado;;Não;
2437;REFFINAN;Conforme contrato de financiamento n°:;;Não;
2453;AUMCAP;Aumento de capital;;Não;
2461;MULTAICMS;Multa ref. auto de infração nº;;Não;
2470;ADIANTFOR;Adiantamento a fornecedores ref.:;;Não;
2518;RRVA;Reavaliação ref.:;;Não;
2526;APRDESP;Apropriação de despesas ref.:;;Não;
2577;SERVTO;Serviços tomados ref. NF;;Não;
2682;ADIANTAMENTO;Adiantamento de aluguel ref.:;;Não;
2720;RECEITAF;Receita de Aplic. financeira ref.:;;Não;
2739;IRPJEST;IRPJ por estimativa ref. mês:;;Não;
2747;CSLLEST;CSLL por estimativa ref. mês:;;Não;
2780;DEB;Débito de ICMS ref.:;;Não;
3018;;Implantação de saldo;;Sim;
3050;CP;Compras cfe NF nº.;;Não;
3182;;IOF a recolher ref. contrato de;;Não;
3247;;Devolução de vendas conf. NF nº.;;Não;
3549;DB;Débito;;Não;
3557;;Dividendos recebidos;;Não;
3565;DEP;Depósito;;Não;
3590;DF;Débito fatura;;Não;
3646;CD;Estorno cheque depositado devolvido;;Não;
213;DUPLICDESCBANC;Duplicatas descontas no banco;;Não;
221;EMPREST;Empréstimo;;Não;
264;ENCERR;Encerramento do exercício;;Não;
280;ESTORNO;Estorno;;Não;
329;ICMSRECUP;ICMS a recuperar ref.:;;Não;
345;ICMSSVENDAS;ICMS sobre vendas;;Não;
418;JUROSEMPRBANC;Juros sobre empréstimos bancários;;Não;
2;;Encerramento no trimestre;;Não;
6;;Saldo de abertura;;Não;
834;DEPRETRI;Depreciação do trimestre;;Não;
3663;COMPENER;Compras energia elétrica conf. NF nº.;;Não;
3664;CREDITO;Cartão de crédito;;Não;
1;;Valor ref. saldo abertura cfe levantamento;;Não;
4;;Valor ref. abastecimento CTF;;Sim;
5;;Valor venda a prazo cfe CFe nº;;Não;
7;;Valor ref. pagamento férias;;Não;
8;;Valor ref. saque c/c com cartão;;Sim;

SCI Ambiente Contábil ÚNICO;;;;
Impressão de campos da consulta;;;;;;;;Página: 3;

Código;Apelido;Nome;;Pula complemento;
9;;Valor ref. pagamento cheque devolvido - cfe depósito c/c;;Sim;
10;;Valor ref. pagamento fatura nº;;Não;
20;Com;Compras em;;Não;
21;SERVIÇOS;Serviços de industrialização cfe NF nº;;Não;
29;;Vendas cfe NF nº;;Não;
30;Ven;Vendas em;;Não;
31;;Valor ref. recebimento fatura nº;;Não;
32;;Valor ref. recebimento CF nº;;Não;
34;;Valor ref. recebimento NF nº;;Não;
37;;NF nº;;Não;
40;;PIS ref.:;;Não;
50;;ICMS em;;Não;
60;;IPI em;;Não;
70;;ISS em;;Não;
77;;Pró-labore * - *;;Não;
84;;Valor revenda de mercadoria cfe reduçao Z nº;;Não;
85;;Valor revenda de mercadoria cfe NF nº;;Não;
87;INSS;INSS em;;Não;
94;COMISS;Comissões;;Não;
97;;Honorários;;Não;
107;;IR sobre honorários;;Não;
117;;Saídas em;;Não;
147;;Pagamento de combustíveis;;Não;
157;;Pagamento de hospedagens;;Não;
167;;Pagamento almoço/jantar;;Não;
177;;Conversão de Cr$ para CR$;;Não;
183;DESCINSSFOLHA;Desconto INSS s/ folha de pgto;;Não;
187;;Saldo convertido em CR$;;Não;
191;DVLC;Devolução de compras conf. NF nº;;Não;
197;;Transferência para lucros e perdas;;Não;
227;;Folha de pagamento;;Não;
230;EMPRLIG;Empréstimo a empresa ligada;;Não;
237;FGTS;FGTS;;Não;
247;;Pagamento IR sobre honorários;;Não;
